State,Name,Electors,Population,Dem,Rep
AK,Alaska,3,710000,37,59
AL,Alabama,9,4780000,36,51
AR,Arkansas,6,2916000,36,54
AZ,Arizona,11,6392000,31,58
CA,California,55,37254000,35,56
CO,Colorado,9,5029000,37,43
CT,Connecticut,7,3574000,40,42
DC,Dist. of Col.,3,602000,40,42
DE,Delaware,3,898000,40,45
FL,Florida,29,18801000,40,51
GA,Georgia,16,9688000,41,52
HI,Hawaii,4,1360000,41,54
IA,Iowa,6,3046000,42,40
ID,Idaho,4,1568000,42,46
IL,Illinois,20,12831000,42,52
IN,Indiana,11,6484000,43,50
KS,Kansas,6,2853000,44,42
KY,Kentucky,8,4339000,44,52
LA,Louisiana,8,4533000,44,53
MA,Massachusetts,11,6548000,44,53
MD,Maryland,10,5774000,45,48
ME,Maine,4,1328000,46,49
MI,Michigan,16,9884000,46,53
MN,Minnesota,10,5304000,47,47
MO,Missouri,10,5989000,48,32
MS,Mississippi,6,2967000,50,39
MT,Montana,3,989000,51,40
NC,North Carolina,15,9535000,52,30
ND,North Dakota,3,673000,52,33
NE,Nebraska,5,1826000,53,38
NH,New Hampshire,4,1316000,53,39
NJ,New Jersey,14,8792000,53,39
NM,New Mexico,5,2059000,53,41
NV,Nevada,6,2701000,54,33
NY,New York,29,19378000,54,39
OH,Ohio,18,11537000,54,40
OK,Oklahoma,7,3751000,55,33
OR,Oregon,7,3831000,55,35
PA,Pennsylvania,20,12702000,55,37
RI,Rhode Island,4,1053000,56,33
SC,South Carolina,9,4625000,56,33
SD,South Dakota,3,814000,56,37
TN,Tennessee,11,6346000,57,35
TX,Texas,38,25146000,57,35
UT,Utah,6,2764000,57,36
VA,Virginia,13,8001000,57,36
VT,Vermont,3,626000,58,34
WA,Washington,12,6725000,60,31
WI,Wisconsin,10,5687000,62,31
WV,West Virginia,5,1853000,45,44
WY,Wyoming,3,564000,45,45
,,,,45,46
,,,,45,47
,,,,45,50
,,,,46,43
,,,,46,45
,,,,46,47
,,,,46,50
,,,,46,50
,,,,47,43
,,,,47,45
,,,,47,46
,,,,47,46
,,,,47,47
,,,,47,47
,,,,47,48
,,,,47,48
,,,,47,48
,,,,47,50
,,,,48,45
,,,,48,46
,,,,48,47
,,,,48,48
,,,,48,48
,,,,49,42
,,,,49,43
,,,,49,46
,,,,49,46
,,,,49,47
,,,,49,48
,,,,49,48
,,,,50,45
,,,,50,47
,,,,50,48
,,,,51,45
,,,,51,47
,,,,52,46
,,,,53,40
,,,,55,44
,,,,49,42
,,,,50,37
,,,,50,38
,,,,51,37
,,,,51,43
,,,,51,43
,,,,51,45
,,,,52,45
,,,,52,45
,,,,53,32
,,,,53,37
,,,,53,38
,,,,53,40
,,,,53,40
,,,,53,44
,,,,54,41
,,,,54,42
,,,,55,41
,,,,55,42
,,,,88,8
,,,,62,37
,,,,41,47
,,,,42,47
,,,,43,44
,,,,43,45
,,,,43,46
,,,,44,48
,,,,44,51
,,,,45,41
,,,,45,43
,,,,45,45
,,,,45,46
,,,,45,46
,,,,45,47
,,,,45,48
,,,,45,48
,,,,45,49
,,,,45,51
,,,,46,42
,,,,46,43
,,,,46,43
,,,,46,45
,,,,46,45
,,,,46,46
,,,,46,49
,,,,46,51
,,,,46,51
,,,,46,51
,,,,47,44
,,,,47,44
,,,,47,45
,,,,47,46
,,,,47,46
,,,,47,47
,,,,47,47
,,,,47,47
,,,,47,48
,,,,47,48
,,,,47,48
,,,,47,49
,,,,47,49
,,,,47,51
,,,,47,52
,,,,48,43
,,,,48,44
,,,,48,44
,,,,48,46
,,,,48,46
,,,,48,47
,,,,48,47
,,,,48,47
,,,,48,47
,,,,48,47
,,,,48,47
,,,,48,49
,,,,48,49
,,,,48,50
,,,,48,50
,,,,49,41
,,,,49,42
,,,,49,44
,,,,49,44
,,,,49,45
,,,,49,46
,,,,49,47
,,,,49,48
,,,,49,50
,,,,50,45
,,,,50,45
,,,,50,46
,,,,50,46
,,,,50,46
,,,,50,49
,,,,51,45
,,,,51,47
,,,,53,44
,,,,35,56
,,,,40,52
,,,,41,50
,,,,42,49
,,,,42,54
,,,,43,51
,,,,43,51
,,,,44,52
,,,,61,34
,,,,62,30
,,,,44,44
,,,,44,45
,,,,44,46
,,,,44,46
,,,,44,47
,,,,46,47
,,,,47,42
,,,,47,45
,,,,48,43
,,,,48,48
,,,,48,48
,,,,48,49
,,,,48,49
,,,,48,49
,,,,49,45
,,,,49,47
,,,,49,47
,,,,50,42
,,,,50,44
,,,,50,45
,,,,50,47
,,,,50,48
,,,,51,41
,,,,51,43
,,,,51,44
,,,,51,44
,,,,27,63
,,,,47,34
,,,,51,31
,,,,55,29
,,,,55,36
,,,,56,35
,,,,35,51
,,,,38,51
,,,,40,49
,,,,40,52
,,,,41,47
,,,,41,51
,,,,41,54
,,,,42,48
,,,,42,55
,,,,43,52
,,,,36,56
,,,,39,53
,,,,37,50
,,,,39,45
,,,,46,34
,,,,49,33
,,,,51,40
,,,,52,36
,,,,53,39
,,,,55,34
,,,,55,38
,,,,55,39
,,,,55,39
,,,,55,40
,,,,55,41
,,,,56,34
,,,,56,35
,,,,56,36
,,,,56,39
,,,,57,30
,,,,57,37
,,,,57,37
,,,,57,39
,,,,57,39
,,,,57,42
,,,,57,42
,,,,58,35
,,,,58,40
,,,,59,31
,,,,59,34
,,,,59,36
,,,,59,40
,,,,60,32
,,,,60,34
,,,,60,36
,,,,63,31
,,,,63,33
,,,,64,31
,,,,55,36
,,,,55,36
,,,,57,34
,,,,58,35
,,,,60,36
,,,,48,34
,,,,49,35
,,,,49,42
,,,,50,42
,,,,51,37
,,,,52,36
,,,,52,37
,,,,52,40
,,,,54,37
,,,,55,37
,,,,55,37
,,,,55,39
,,,,55,42
,,,,58,35
,,,,40,40
,,,,44,41
,,,,44,45
,,,,45,46
,,,,47,37
,,,,47,43
,,,,47,43
,,,,47,46
,,,,47,47
,,,,48,40
,,,,48,42
,,,,48,42
,,,,48,42
,,,,48,42
,,,,48,42
,,,,48,45
,,,,49,44
,,,,49,46
,,,,50,42
,,,,51,33
,,,,51,42
,,,,51,44
,,,,52,44
,,,,52,45
,,,,52,46
,,,,52,46
,,,,52,47
,,,,53,39
,,,,53,39
,,,,53,45
,,,,54,38
,,,,54,42
,,,,59,39
,,,,46,40
,,,,47,44
,,,,48,40
,,,,48,40
,,,,49,36
,,,,50,40
,,,,50,40
,,,,50,43
,,,,51,41
,,,,51,44
,,,,51,46
,,,,52,38
,,,,52,41
,,,,53,43
,,,,53,45
,,,,54,39
,,,,41,50
,,,,41,53
,,,,41,54
,,,,42,49
,,,,42,51
,,,,42,52
,,,,43,50
,,,,43,50
,,,,43,54
,,,,44,45
,,,,44,50
,,,,44,50
,,,,45,44
,,,,45,45
,,,,45,48
,,,,45,48
,,,,45,51
,,,,45,53
,,,,46,49
,,,,46,52
,,,,47,46
,,,,47,48
,,,,40,46
,,,,38,55
,,,,40,49
,,,,41,47
,,,,41,48
,,,,41,52
,,,,42,51
,,,,42,51
,,,,43,48
,,,,43,50
,,,,43,53
,,,,43,53
,,,,43,53
,,,,44,51
,,,,45,50
,,,,45,52
,,,,45,53
,,,,43,43
,,,,43,46
,,,,43,47
,,,,43,51
,,,,43,53
,,,,44,45
,,,,44,46
,,,,44,47
,,,,44,49
,,,,45,45
,,,,45,46
,,,,45,50
,,,,45,50
,,,,45,51
,,,,46,43
,,,,46,44
,,,,46,45
,,,,46,45
,,,,46,48
,,,,46,50
,,,,46,52
,,,,46,52
,,,,47,43
,,,,47,46
,,,,47,46
,,,,47,47
,,,,47,48
,,,,47,49
,,,,47,51
,,,,48,46
,,,,48,46
,,,,48,47
,,,,48,48
,,,,48,48
,,,,48,48
,,,,48,49
,,,,48,51
,,,,49,44
,,,,49,46
,,,,49,46
,,,,49,47
,,,,49,48
,,,,49,49
,,,,49,49
,,,,32,57
,,,,36,51
,,,,38,55
,,,,39,49
,,,,39,52
,,,,40,54
,,,,40,54
,,,,40,54
,,,,35,52
,,,,39,51
,,,,39,51
,,,,39,53
,,,,39,58
,,,,40,51
,,,,40,54
,,,,41,51
,,,,42,44
,,,,45,40
,,,,45,45
,,,,45,48
,,,,46,50
,,,,47,41
,,,,47,47
,,,,47,49
,,,,48,41
,,,,48,43
,,,,48,46
,,,,48,48
,,,,48,48
,,,,48,49
,,,,48,50
,,,,49,45
,,,,49,46
,,,,49,46
,,,,49,47
,,,,49,47
,,,,49,49
,,,,50,40
,,,,50,44
,,,,50,44
,,,,50,45
,,,,50,46
,,,,50,48
,,,,50,48
,,,,50,49
,,,,51,42
,,,,51,42
,,,,51,43
,,,,51,44
,,,,51,44
,,,,51,45
,,,,51,48
,,,,53,41
,,,,54,39
,,,,48,38
,,,,49,36
,,,,49,38
,,,,49,39
,,,,49,39
,,,,49,40
,,,,50,36
,,,,50,37
,,,,50,42
,,,,51,37
,,,,51,37
,,,,51,40
,,,,51,41
,,,,51,43
,,,,51,44
,,,,52,37
,,,,52,37
,,,,52,38
,,,,52,38
,,,,53,38
,,,,54,40
,,,,56,31
,,,,56,33
,,,,56,39
,,,,45,40
,,,,49,39
,,,,49,44
,,,,50,41
,,,,51,40
,,,,52,36
,,,,52,38
,,,,52,43
,,,,53,42
,,,,53,44
,,,,54,40
,,,,54,43
,,,,55,36
,,,,47,45
,,,,47,45
,,,,47,45
,,,,47,46
,,,,47,47
,,,,48,42
,,,,48,45
,,,,48,46
,,,,49,46
,,,,49,47
,,,,49,47
,,,,50,44
,,,,50,45
,,,,50,46
,,,,50,46
,,,,50,47
,,,,50,47
,,,,50,47
,,,,50,48
,,,,51,43
,,,,51,44
,,,,51,47
,,,,51,47
,,,,51,47
,,,,52,43
,,,,52,44
,,,,53,44
,,,,52,35
,,,,55,32
,,,,56,31
,,,,56,33
,,,,57,35
,,,,57,37
,,,,58,35
,,,,59,35
,,,,59,35
,,,,60,30
,,,,60,34
,,,,60,35
,,,,61,34
,,,,61,35
,,,,62,33
,,,,62,33
,,,,62,34
,,,,63,31
,,,,38,44
,,,,44,42
,,,,44,42
,,,,44,46
,,,,44,46
,,,,45,39
,,,,45,42
,,,,45,44
,,,,45,44
,,,,45,45
,,,,45,45
,,,,45,48
,,,,46,42
,,,,46,42
,,,,46,42
,,,,46,43
,,,,46,44
,,,,46,47
,,,,47,38
,,,,47,41
,,,,47,44
,,,,47,44
,,,,47,45
,,,,47,45
,,,,47,46
,,,,47,47
,,,,47,48
,,,,48,40
,,,,48,42
,,,,48,44
,,,,48,44
,,,,48,45
,,,,48,45
,,,,48,45
,,,,48,45
,,,,48,46
,,,,48,46
,,,,48,47
,,,,48,47
,,,,48,48
,,,,48,48
,,,,48,50
,,,,49,42
,,,,49,42
,,,,49,44
,,,,49,44
,,,,49,44
,,,,49,45
,,,,49,45
,,,,49,46
,,,,49,46
,,,,49,46
,,,,49,47
,,,,49,48
,,,,49,48
,,,,49,49
,,,,49,49
,,,,49,49
,,,,50,38
,,,,50,42
,,,,50,43
,,,,50,43
,,,,50,44
,,,,50,44
,,,,50,45
,,,,50,45
,,,,50,45
,,,,50,45
,,,,50,45
,,,,50,46
,,,,50,47
,,,,50,48
,,,,50,49
,,,,50,49
,,,,51,42
,,,,51,43
,,,,51,45
,,,,51,45
,,,,51,46
,,,,51,46
,,,,51,47
,,,,51,47
,,,,52,44
,,,,52,47
,,,,53,43
,,,,27,62
,,,,29,58
,,,,33,58
,,,,47,41
,,,,47,43
,,,,49,42
,,,,50,39
,,,,50,41
,,,,50,42
,,,,52,46
,,,,41,30
,,,,41,33
,,,,43,40
,,,,45,39
,,,,45,40
,,,,45,42
,,,,45,44
,,,,46,40
,,,,46,40
,,,,47,39
,,,,47,41
,,,,47,42
,,,,47,45
,,,,48,36
,,,,48,37
,,,,48,40
,,,,48,44
,,,,48,44
,,,,49,40
,,,,49,42
,,,,49,42
,,,,49,43
,,,,49,43
,,,,49,45
,,,,49,45
,,,,49,46
,,,,49,46
,,,,49,46
,,,,50,39
,,,,50,41
,,,,50,42
,,,,50,42
,,,,50,45
,,,,50,46
,,,,51,39
,,,,51,42
,,,,51,44
,,,,51,46
,,,,51,46
,,,,52,40
,,,,52,42
,,,,52,43
,,,,52,46
,,,,53,42
,,,,54,42
,,,,54,33
,,,,54,37
,,,,57,33
,,,,58,32
,,,,40,46
,,,,35,44
,,,,39,54
,,,,40,46
,,,,41,52
,,,,41,53
,,,,42,50
,,,,43,49
,,,,34,59
,,,,39,42
,,,,40,47
,,,,41,47
,,,,35,55
,,,,36,49
,,,,39,55
,,,,39,58
,,,,42,49
,,,,43,50
,,,,20,71
,,,,25,70
,,,,26,68
,,,,26,69
,,,,40,46
,,,,42,43
